name,density,surface tension,dynamic viscosity,kinematic viscosity
0.348,1088.784,0.073918,0.028881787,2.65266E-05
0.35,1089.3,0.073925,0.028881787,2.65141E-05
0.352,1089.816,0.073932,0.028881787,2.65015E-05
0.354,1090.332,0.073939,0.028881787,2.6489E-05
0.356,1090.848,0.073946,0.028881787,2.64765E-05
0.358,1091.364,0.073953,0.028881787,2.64639E-05
0.36,1091.88,0.07396,0.028881787,2.64514E-05
0.362,1092.396,0.073967,0.028881787,2.64389E-05
0.364,1092.912,0.073974,0.028881787,2.64265E-05
0.366,1093.428,0.073981,0.028881787,2.6414E-05
0.368,1093.944,0.073988,0.028881787,2.64015E-05
0.37,1094.46,0.073995,0.028881787,2.63891E-05
0.372,1094.976,0.074002,0.028881787,2.63766E-05
0.374,1095.492,0.074009,0.028881787,2.63642E-05
0.376,1096.008,0.074016,0.028881787,2.63518E-05
0.378,1096.524,0.074023,0.028881787,2.63394E-05
0.38,1097.04,0.07403,0.028881787,2.6327E-05
0.382,1097.556,0.074037,0.028881787,2.63146E-05
0.384,1098.072,0.074044,0.028881787,2.63023E-05
0.386,1098.588,0.074051,0.028881787,2.62899E-05
0.388,1099.104,0.074058,0.028881787,2.62776E-05
0.39,1099.62,0.074065,0.028881787,2.62652E-05
0.392,1100.136,0.074072,0.028881787,2.62529E-05
0.394,1100.652,0.074079,0.028881787,2.62406E-05
0.396,1101.168,0.074086,0.028881787,2.62283E-05
0.398,1101.684,0.074093,0.028881787,2.6216E-05
0.4,1102.2,0.0741,0.028881787,2.62038E-05
0.402,1102.716,0.074107,0.028881787,2.61915E-05
0.404,1103.232,0.074114,0.028881787,2.61793E-05
0.406,1103.748,0.074121,0.028881787,2.6167E-05
0.408,1104.264,0.074128,0.028881787,2.61548E-05
0.41,1104.78,0.074135,0.028881787,2.61426E-05
0.412,1105.296,0.074142,0.028881787,2.61304E-05
0.414,1105.812,0.074149,0.028881787,2.61182E-05
0.416,1106.328,0.074156,0.028881787,2.6106E-05
0.418,1106.844,0.074163,0.028881787,2.60938E-05
0.42,1107.36,0.07417,0.028881787,2.60817E-05
0.422,1107.876,0.074177,0.028881787,2.60695E-05
0.424,1108.392,0.074184,0.028881787,2.60574E-05
0.426,1108.908,0.074191,0.028881787,2.60453E-05
0.428,1109.424,0.074198,0.028881787,2.60331E-05
0.43,1109.94,0.074205,0.028881787,2.6021E-05
0.432,1110.456,0.074212,0.028881787,2.60089E-05
0.434,1110.972,0.074219,0.028881787,2.59969E-05
0.436,1111.488,0.074226,0.028881787,2.59848E-05
0.438,1112.004,0.074233,0.028881787,2.59727E-05
0.44,1112.52,0.07424,0.028881787,2.59607E-05
0.442,1113.036,0.074247,0.028881787,2.59487E-05
0.444,1113.552,0.074254,0.028881787,2.59366E-05
0.446,1114.068,0.074261,0.028881787,2.59246E-05
0.448,1114.584,0.074268,0.028881787,2.59126E-05
0.45,1115.1,0.074275,0.028881787,2.59006E-05
0.452,1115.616,0.074282,0.028881787,2.58886E-05
0.454,1116.132,0.074289,0.028881787,2.58767E-05
0.456,1116.648,0.074296,0.028881787,2.58647E-05
0.458,1117.164,0.074303,0.028881787,2.58528E-05
0.46,1117.68,0.07431,0.028881787,2.58408E-05
0.462,1118.196,0.074317,0.028881787,2.58289E-05
0.464,1118.712,0.074324,0.028881787,2.5817E-05
0.466,1119.228,0.074331,0.028881787,2.58051E-05
0.468,1119.744,0.074338,0.028881787,2.57932E-05
0.47,1120.26,0.074345,0.028881787,2.57813E-05
0.472,1120.776,0.074352,0.028881787,2.57695E-05
0.474,1121.292,0.074359,0.028881787,2.57576E-05
0.476,1121.808,0.074366,0.028881787,2.57457E-05
0.478,1122.324,0.074373,0.028881787,2.57339E-05
0.48,1122.84,0.07438,0.028881787,2.57221E-05
0.482,1123.356,0.074387,0.028881787,2.57103E-05
0.484,1123.872,0.074394,0.028881787,2.56985E-05
0.486,1124.388,0.074401,0.028881787,2.56867E-05
0.488,1124.904,0.074408,0.028881787,2.56749E-05
0.49,1125.42,0.074415,0.028881787,2.56631E-05
0.492,1125.936,0.074422,0.028881787,2.56514E-05
0.494,1126.452,0.074429,0.028881787,2.56396E-05
0.496,1126.968,0.074436,0.028881787,2.56279E-05
0.498,1127.484,0.074443,0.028881787,2.56161E-05
0.5,1128,0.07445,0.028881787,2.56044E-05
0.502,1128.516,0.074457,0.028881787,2.55927E-05
0.504,1129.032,0.074464,0.028881787,2.5581E-05
0.506,1129.548,0.074471,0.028881787,2.55693E-05
0.508,1130.064,0.074478,0.028881787,2.55577E-05
0.51,1130.58,0.074485,0.028881787,2.5546E-05
0.512,1131.096,0.074492,0.028881787,2.55343E-05
0.514,1131.612,0.074499,0.028881787,2.55227E-05
0.516,1132.128,0.074506,0.028881787,2.55111E-05
0.518,1132.644,0.074513,0.028881787,2.54994E-05
0.52,1133.16,0.07452,0.028881787,2.54878E-05
0.522,1133.676,0.074527,0.028881787,2.54762E-05
0.524,1134.192,0.074534,0.028881787,2.54646E-05
0.526,1134.708,0.074541,0.028881787,2.54531E-05
0.528,1135.224,0.074548,0.028881787,2.54415E-05
0.53,1135.74,0.074555,0.028881787,2.54299E-05
0.532,1136.256,0.074562,0.028881787,2.54184E-05
0.534,1136.772,0.074569,0.028881787,2.54068E-05
0.536,1137.288,0.074576,0.028881787,2.53953E-05
0.538,1137.804,0.074583,0.028881787,2.53838E-05
0.54,1138.32,0.07459,0.028881787,2.53723E-05
0.542,1138.836,0.074597,0.028881787,2.53608E-05
0.544,1139.352,0.074604,0.028881787,2.53493E-05
0.546,1139.868,0.074611,0.028881787,2.53378E-05
0.548,1140.384,0.074618,0.028881787,2.53264E-05
0.55,1140.9,0.074625,0.028881787,2.53149E-05
0.552,1141.416,0.074632,0.028881787,2.53035E-05
0.554,1141.932,0.074639,0.028881787,2.5292E-05
0.556,1142.448,0.074646,0.028881787,2.52806E-05
0.558,1142.964,0.074653,0.028881787,2.52692E-05
0.56,1143.48,0.07466,0.028881787,2.52578E-05
0.562,1143.996,0.074667,0.028881787,2.52464E-05
0.564,1144.512,0.074674,0.028881787,2.5235E-05
0.566,1145.028,0.074681,0.028881787,2.52237E-05
0.568,1145.544,0.074688,0.028881787,2.52123E-05
0.57,1146.06,0.074695,0.028881787,2.52009E-05
0.572,1146.576,0.074702,0.028881787,2.51896E-05
0.574,1147.092,0.074709,0.028881787,2.51783E-05
0.576,1147.608,0.074716,0.028881787,2.51669E-05
0.578,1148.124,0.074723,0.028881787,2.51556E-05
0.58,1148.64,0.07473,0.028881787,2.51443E-05
0.582,1149.156,0.074737,0.028881787,2.5133E-05
0.584,1149.672,0.074744,0.028881787,2.51218E-05
0.586,1150.188,0.074751,0.028881787,2.51105E-05
0.588,1150.704,0.074758,0.028881787,2.50992E-05
0.59,1151.22,0.074765,0.028881787,2.5088E-05
0.592,1151.736,0.074772,0.028881787,2.50767E-05
0.594,1152.252,0.074779,0.028881787,2.50655E-05
0.596,1152.768,0.074786,0.028881787,2.50543E-05
0.598,1153.284,0.074793,0.028881787,2.50431E-05
0.6,1153.8,0.0748,0.028881787,2.50319E-05
0.602,1154.316,0.074807,0.028881787,2.50207E-05
0.604,1154.832,0.074814,0.028881787,2.50095E-05
0.606,1155.348,0.074821,0.028881787,2.49983E-05
0.608,1155.864,0.074828,0.028881787,2.49872E-05
0.61,1156.38,0.074835,0.028881787,2.4976E-05
0.612,1156.896,0.074842,0.028881787,2.49649E-05
0.614,1157.412,0.074849,0.028881787,2.49538E-05
0.616,1157.928,0.074856,0.028881787,2.49426E-05
0.618,1158.444,0.074863,0.028881787,2.49315E-05
0.62,1158.96,0.07487,0.028881787,2.49204E-05
0.622,1159.476,0.074877,0.028881787,2.49093E-05
0.624,1159.992,0.074884,0.028881787,2.48983E-05
0.626,1160.508,0.074891,0.028881787,2.48872E-05
0.628,1161.024,0.074898,0.028881787,2.48761E-05
0.63,1161.54,0.074905,0.028881787,2.48651E-05
0.632,1162.056,0.074912,0.028881787,2.4854E-05
0.634,1162.572,0.074919,0.028881787,2.4843E-05
0.636,1163.088,0.074926,0.028881787,2.4832E-05
0.638,1163.604,0.074933,0.028881787,2.4821E-05
0.64,1164.12,0.07494,0.028881787,2.481E-05
0.642,1164.636,0.074947,0.028881787,2.4799E-05
0.644,1165.152,0.074954,0.028881787,2.4788E-05
0.646,1165.668,0.074961,0.028881787,2.4777E-05
0.648,1166.184,0.074968,0.028881787,2.47661E-05
0.65,1166.7,0.074975,0.028881787,2.47551E-05
0.652,1167.216,0.074982,0.028881787,2.47442E-05
0.654,1167.732,0.074989,0.028881787,2.47332E-05
0.656,1168.248,0.074996,0.028881787,2.47223E-05
0.658,1168.764,0.075003,0.028881787,2.47114E-05
0.66,1169.28,0.07501,0.028881787,2.47005E-05
0.662,1169.796,0.075017,0.028881787,2.46896E-05
0.664,1170.312,0.075024,0.028881787,2.46787E-05
0.666,1170.828,0.075031,0.028881787,2.46678E-05
0.668,1171.344,0.075038,0.028881787,2.4657E-05
0.67,1171.86,0.075045,0.028881787,2.46461E-05
0.672,1172.376,0.075052,0.028881787,2.46353E-05
0.674,1172.892,0.075059,0.028881787,2.46244E-05
0.676,1173.408,0.075066,0.028881787,2.46136E-05
0.678,1173.924,0.075073,0.028881787,2.46028E-05
0.68,1174.44,0.07508,0.028881787,2.4592E-05
0.682,1174.956,0.075087,0.028881787,2.45812E-05
0.684,1175.472,0.075094,0.028881787,2.45704E-05
0.686,1175.988,0.075101,0.028881787,2.45596E-05
0.688,1176.504,0.075108,0.028881787,2.45488E-05
0.69,1177.02,0.075115,0.028881787,2.45381E-05
0.692,1177.536,0.075122,0.028881787,2.45273E-05
0.694,1178.052,0.075129,0.028881787,2.45166E-05
0.696,1178.568,0.075136,0.028881787,2.45058E-05
0.698,1179.084,0.075143,0.028881787,2.44951E-05
0.7,1179.6,0.07515,0.028881787,2.44844E-05
0.702,1180.116,0.075157,0.028881787,2.44737E-05
0.704,1180.632,0.075164,0.028881787,2.4463E-05
0.706,1181.148,0.075171,0.028881787,2.44523E-05
0.708,1181.664,0.075178,0.028881787,2.44416E-05
0.71,1182.18,0.075185,0.028881787,2.4431E-05
0.712,1182.696,0.075192,0.028881787,2.44203E-05
0.714,1183.212,0.075199,0.028881787,2.44096E-05
0.716,1183.728,0.075206,0.028881787,2.4399E-05
0.718,1184.244,0.075213,0.028881787,2.43884E-05
0.72,1184.76,0.07522,0.028881787,2.43778E-05
0.722,1185.276,0.075227,0.028881787,2.43671E-05
0.724,1185.792,0.075234,0.028881787,2.43565E-05
0.726,1186.308,0.075241,0.028881787,2.43459E-05
0.728,1186.824,0.075248,0.028881787,2.43354E-05
0.73,1187.34,0.075255,0.028881787,2.43248E-05
0.732,1187.856,0.075262,0.028881787,2.43142E-05
0.734,1188.372,0.075269,0.028881787,2.43037E-05
0.736,1188.888,0.075276,0.028881787,2.42931E-05
0.738,1189.404,0.075283,0.028881787,2.42826E-05
0.74,1189.92,0.07529,0.028881787,2.4272E-05
0.742,1190.436,0.075297,0.028881787,2.42615E-05
0.744,1190.952,0.075304,0.028881787,2.4251E-05
0.746,1191.468,0.075311,0.028881787,2.42405E-05
